@relation langid_train

@attribute language_class {EN,FR,SP}
@attribute text String

@data
EN,'Marian Central is offering a week-long tennis camp sessions for beginners, advanced beginners and high school varsity athletes.'
EN,'Bragg, N.C., on Tuesday evening, with a call \"to complete a mission\" the U.S. has started in Iraq.'
EN,'Coach Christi Kurta\'s club (1-1) plays at Harrison Friday.'
EN,'He said that after he had his law degree his first job had been with the Federal Trade Commission.'
EN,'\"If we get to that point, we would win the battle of public opinion.'
EN,'Paul Konerko doubled down the left-field line in the seventh, moved to third on Jermaine Dye&#8217;s fly to right and scored on an error by shortstop Jhonny Peralta, who booted Aaron Rowand&#8217;s one-out grounder.'
EN,'Iraq to fight the US-led occupation and new Iraqi government.'
EN,'Estrada was ousted in 2001 in the wake of similar allegations.'
EN,'Clearly, this individual brings to Rogers High School a true passion for the all-student agenda, as well as strong leadership and team-building skills to meet the challenges of high school reform.\"'
EN,'It\'ll be a fresh Bruce who runs in Sacramento tonight after winning the NCAA Western Regional in the rain in Eugene, Ore., two weeks ago at 8:38.33.'
EN,'Fincham would not say if detectives believe the woman was killed by someone she knew or if it was a random attack.'
EN,'All other members of the Arizona delegation - Republican Sens.'
EN,'I\'m just so happy for him,\" Andretti said.'
EN,'He confirmed that the economy in Iraq needs the support of all the companies specialized in the fields of reconstruction and not only in through finance alone but also with their experience and technology as well.'
EN,'E-mail addresses can also be used/updated.'
EN,'This food-safety training meets the state Department of Agriculture requirements.'
EN,'That started the spark that later turned into a conflagration climaxing into the confession of Mary Ann Gadian and Sherryl Desiree Jane \"Joy\" Tangan, two casual employees assigned to the office of former Vice Governor Felipe Constantino.'
EN,'Fort Wayne has always been known for their work ethic; theyre a hard-working, very well-rounded team, and theyve always played well against us.'
EN,'Gerry reportedly clung to a high tree trunk for survival.'
EN,'They began by appealing to the entertainment world for support, and within a year were raising money for the Nelson Mandela Freedom Fund.'
EN,'But Hiddink said there was still work to do.'
EN,'They cant tell because he is grabbing the referee, he is touching his shoulder, he is talking in a calm fashion, James said.'
EN,'GARY â€” Mayor Scott L. King has declared a â€œcash crisisâ€ and has asked city department heads to put off all non-essential spending until June.'
EN,'And the board is unconcerned about the possibility of buying at what may be a market peak, as numerous massive pools of capital slosh around in search of property acquisitions.'
EN,'Brighter days also allow the cars to recharge their batteries for cloudy or rainy days.'
EN,'However, uncomfortably warm periods frequently occur during the months immediately before or after summerâ€™s beginning and end.'
EN,'Even if seven love something, it only takes one dissent to halt the song in its tracks.'
EN,'Cordero finished the 2004 season with a 2.13 ERA.'
EN,'Meanwhile the US consumer price index fell 0.1 percent in May from the previous month.'
EN,'Click here for the full recap of all the night\'s action, featuring photos from fight photographer Ed Mulholland.'
EN,'His fiancÃ©e, Sarah White, and son, Kelentric White, will drive from Boutte in St. Charles Parish to deliver a gift and card.'
EN,'On a different hunt I was lucky enough for once to be drawn to be a sitter as the other hunters drove deer to my position in the woods.'
EN,'When word of Cornell\'s request reached area residents last year many voiced their opposition to the reduction.'
EN,'Providing Bush education: Richard Carroll Jr., owner and operator of Alaska Yukon Tours, cleans his powder-blue school bus that serves as his classroom in Fort Yukon.'
EN,'Both are deserving organisations offering important services to families and children in our region.'
EN,'Lohr, a graduate of Morgan County High School, owns The Connection, a hair salon in Lowell.'
EN,'The right thing would have been to get this young man some help said Michael Brannon, a forensic psychologist appointed by a judge to examine Tate after the 1999 killing of 6-year-old Tiffany Eunick.'
EN,'Close to 1,000 people lined Grey Street in Glen Innes to cheer on the marchers, which including a big contingent of local schoolchildren representing their schools.'
EN,'It was such a loud noise,\" said Moore.'
EN,'Asia Silk says it intends to increase its market share, secure new customers and look into acquisitions, investments, strategic alliances or joint ventures to expand its market base.'
EN,'DeOliveira refused to give a statement, the supervisor said.'
EN,'As a youth, Rainier had a long romance with French actress Gisele Pascal, became a keen fan of jazz and studied oceanography, later helping to finance Jacques Couteau\'s Oceanographic Institute in Monaco.'
EN,'Total sales rose 7.4 percent.Wal-Mart did get a boost from Sam\'s Club, which posted a 4.9 percent gain for the month.'
EN,'We will continue to do that one until we know the new station has been a success to our community,\" said Yang, who also is the coordinator for \"Hmong News\" on WJFW-TV 12 in Rhinelander.'
EN,'We didn\'t know it was going to grow that quickly,\" said Crocker.'
EN,'Joey will appear in many different roles such as comedian, villain and policeman.'
EN,'Samuel LeBreton, an economist with Human Resources and Skills Development Canada, says New Brunswick hasn?'
EN,'Among the first scheduled to take the stand as a defence witness is former child star Macaulay Culkin, of Home Alone fame, who is widely expected to deny claims that Jackson ever fondled him.'
EN,'A WIFE has accused her husband, an employee of the Davao City Water District, of punching her when she caught him and another woman inside a store in Ramon Magsaysay Avenue yesterday.'
EN,'In the Hispanic population and aging general population, focus groups are held annually to address housing, streets and general safety of our citizens, to direct changes needed to provide these essential services.'
EN,'No matter how stressful it gets, you still manage to look bright, breezy and in control.'
EN,'What about Madeline Federline?'
EN,'â€œEven a few weeks ago it looked like it could just come down to a scrap between us and United,â€ he added.'
EN,'The dog is a major deterrent,\" said Bell County Schools Superintendent George Thompson.'
EN,'The message our young athletes get today is that the \'Breakfast of Champions\' is chock-full of juice,\" said the subcommittee\'s ranking Democrat, Jan Schakowsky of Illinois.'
EN,'There is an entire neighborhood of townhouses in the New Lenox School District, as well as a planned Jewel-Osco store.'
EN,'The $1.5 million tournament, sanctioned by the European and Asian tours, is being played for the second straight year in Shanghai.'
EN,'HOWELL, Mich. - Blissfield was only nine outs away from ending the longest winning streak in high school baseball history, but a rain delay and a wild pitch dashed the Royals\' hopes and extended Homer High\'s phenomenal run.'
EN,'Even though I was skeptical about Manny Stewardâ€™s partnership with the younger Klitschko, in the Brewster and Williamson fights, the improvements were truly visible in his game during this fight and seem to be putting Wlad on the right track.'
EN,'Finally, an attempt to send the message through an SMTP server is made.'
EN,'The padauk blossom flowers after a cold rain shower, he said.'
EN,'I am astounded: July lean hogs were near $80 on April 1, and they are near $66 on June 20. What has happened during this period?'
EN,'John Lucas has been a loser ever since he stopped coaching the Spurs, yet he\'s always a candidate for a head coaching position.'
EN,'\"You would think at some point, guys on the floor will say, `Not tonight.\''
EN,'It seems as if you\'ve had to be ready for anything.'
EN,'I guess that\'s what happens when you are playing a club that is hot,\" Cubs manager Dusty Baker said.'
EN,'And it&rsquo;s at the high school level that the transfer trend becomes taboo in the minds of many parents, coaches and administrators.'
EN,'The problem is worst among gay Latino men ages 30 to 49 in Bernalillo County and southern New Mexico.'
EN,'It also competes with some smaller grocers such as Fareway, she said.'
EN,'Phil Mickelson and the rest of the field at the BellSouth Classic had to wait an extra day to tee off.'
EN,'However, if you don\'t fancy watching the World Superbike action from the grandstand and would rather watch it from the luxury of a hospitality suite then Silverstone also has a special hospitality package available for race day.'
EN,'Atlanta failed again in its bid to win two in a row for the first time this season.'
EN,'Candy bars and other foods used to raise funds for clubs could be included.'
EN,'And that sloppy, time-killing, unnecessary run turned out to be the game winner as Houston hung on by its fingernails to beat the gallant Brewers 8-7 to sweep this condensed two-game series.'
EN,'I think there\'s every prospect that we\'ll get some good legislation,\" said Electoral Commission Chairman Sam Younger.'
EN,'Essendon to assist, along with private bulldozers.'
EN,'And, some trees that seem dead might simply need time to recover from some other injury.'
EN,'He suddenly had difficulty swallowing.'
EN,'South African officials are due to meet the defence ministry director and tour Israel\'s defence and aircraft industries to discuss possible joint ventures.'
EN,'The News Journal will have further details next Wednesday.'
EN,'He says he cant arrange for us to get back to the old route or do anything more and yet he wants to bring the Commonwealth Games to Scotland its ridiculous.'
EN,'Fears over childhood obesity have prompted the Scottish Executive initiative, which is supported by the city council.'
EN,'Still, the state had Democratic governors for 17 of 18 years before he won in 2002.'
EN,'The reality has been quite different.'
EN,'\"Mannino was terrific in goal,\" Gwozdecky said.'
EN,'Saladin won $16,431.96 in 15 events and finished in the top 10 once in the Gateway Tour\'s spring session.'
EN,'More than 500 businesspeople are expected to attend the conference, which offers a day of comprehensive presentations and seminars that focus on key aspects of competing in the global market.'
EN,'Servicing both these groups of customers, we are actually much more involved in the DRAM-industry processes than it is usually necessary for, as you said, third-party DRAM-module makers.'
EN,'Steamboat taxpayers might very well understand the community concept,\" she said.'
EN,'Five years after taking over the Bobcats\' program, he guided Ohio to a 25-8 record and was named the Mid-American Conference Coach of the Year.'
EN,'Pokharel is survived by six children and two wives.'
EN,'New Hampshire and Vermont are forecast to have the region\'s lowest unemployment during that period, averaging 3.1 percent and 3.4 percent, respectively, with Massachusetts posting the region\'s highest rate at 4.8 percent.'
EN,'\"Abusers often make the accusations that the partner is seeing someone else or is being unfaithful.'
EN,'At least one arrest in connection with that incident has been made.'
EN,'While at the library, we also heard from Phyllis Wall, coordinator of the Hale County Literacy Council.'
EN,'His two friends were se-riously injured in the 7.30pm fight.'
EN,'I think it\'s great for Jerry Rice that Denver signed him.'
EN,'His electoral record was one of the weakest parts of his performance: his party had 10 MPs when he became leader in 1995, but he steadily lost support in successive elections.'
EN,'In a defeat for the US Justice Department, the court ruled unanimously that the jury instructions failed to convey properly the elements of what constituted a conviction for corrupt persuasion.'
EN,'Former teacher of Bangladesh Agricultural University Professor Dr. AM Moazzem Hossein delivered the keynote speech at the seminar titled \"Bangladesh: Peasants and Agriculture\", which was organised by Bangladesh Unnayan Parishad (BUP).'
EN,'Atkins said the formal transfer of the shares coincided with the turnover of the plant, the interest for which were earlier acquired by Polymax Worldwide Ltd. of local Metro Alliance group, which specializes in chemical production and distribution.'
EN,'They have now listed the surgery for June 21, but Ms Grady says she is worried that she may not be able to wait that long.'
EN,'Early on, the German forces rolled up the Russian defenders.'
EN,'The words meant nothing at first.Somebody told Jose Velasquez this was the land of opportunity.'
EN,'Carlisle joined them as they rushed to the site, checked the boy\'s vital signs and began treating him.'
EN,'I like older people.'
EN,'You just have to have respect for that,\" says Ramirez, who does anti-abortion work at her high school.'
EN,'Garrett Anderson added an RBI single off Eddie Guardado in the ninth.'
EN,'Richard Hamilton was held to 14 points on 7-for-21 shooting.'
EN,'When the final whistle sounded just seconds later, several United players placed their heads in their hands, and it got worse when news came through that they had lost ground on drop-zone rivals Dundee, Dunfermline and Livingston.'
EN,'The vehicles were checked through the Baviaanskloof Wilderness Gate and we set our sights on Zandvlakte Guest House.'
EN,'Another 50 percent are abused by someone outside of the family whom they know and trust; and approximately 40 percent are abused by older or larger children whom they know.'
EN,'Services in Kansas City, Mo., were planned.'
EN,'The mob also hurled brick chips at the cops,\" said a witness.'
EN,'New York called up first baseman-outfielder Brian Daubach from Triple-A Norfolk to take Cairo\'s spot on the roster.'
EN,'He was all muddy and wet from walking over wet ground, said Nunley, who dialed 911 on his cell phone and said he was lucky to find a signal.'
EN,'Sharon has halted the withdrawals because the PA has not lived up its agreement to dismantle the terrorist infrastructure.'
EN,'If what he says happened actually did happen, there won\'t be a single safe seat for the Liberal Party in Quebec when the next federal election is called.'
EN,'The home\'s utilities have been disconnected.'
EN,'Speed kills,\" Riders\' coach Brian Berns said.'
EN,'He based this book on stories told by his grandfather about arranged marriages Colonialism and French and Indian influences.'
EN,'In a separate opinion from Stevens\', Scalia wrote that \"marijuana that is grown at home and possessed for personal use is never more than an instant from the interstate market even if it is for medicinal use.'
EN,'Under the new Homeland Security regulations, Americans returning from the Caribbean, Bermuda, Central and South America must show passports starting Dec. 31. But those returning from Canada and Mexico only have to show passports starting Dec. 31, 2006.'
EN,'Al-Attiya announced plans for the zone as leaders and top government officials from 33 South American, Middle Eastern and North African countries arrived in the Brazilian capital for the summit to strengthen political and economic ties.'
EN,'The incident drew criticism from the international community, but she continued to be worshipped as a goddess in her village.'
EN,'Miller says he got behind on paying those taxes because of two bad years in the vegetable business and a kidney ailment last fall that led to a monthlong hospitalization.'
EN,'A SYDNEY man said yesterday he simply wanted to discuss the weather with George W. Bush, but ended up paralysing the centre of Washington and causing a major security scare.'
EN,'Considering the way I played today, it\'s something of a miracle,\" Browne said after hitting just nine fairways and 10 greens.'
EN,'Simon Zwane, spokesperson for the Gauteng Health Department, said Rebecca Magobe would be kept in an isolated ward designed for patients who were a danger to others and themselves.'
EN,'In the Bloomberg tables, small value funds boast a 13.8 percent-per-annum gain for the last five years; mid-cap value funds 11.4 percent, and large value funds 3.8 percent.'
EN,'Halfway through the experiment, they have nevertheless become part of the volunteers\' daily routine.'
EN,'Woman would like computer and three-wheeled bike.'
EN,'Often, the sores form with the slightest touch, her parents said.'
EN,'That is perfectly legal (not neccaryly ethical) and many companies do it.'
EN,'The suspended IAS officer had moved an application before the court, alleging that he was being framed for pointing out irregularities in the appointment of teachers in the state.'
EN,'Regular trains won\'t charge extra if you hop on and off.'
EN,'When staff noticed rude captions linked to a number of students, they decided to remove those pages from the yearbook.'
EN,'Symonds and Matthew Hayden had major league potential had they started as youngsters in the sport.'
EN,'Soda Creek students experienced Ranch Days in conjunction with units about Routt County history.'
EN,'White and Chicchelly refused to comment Tuesday.'
EN,'The lack of legal clarity has meant that companies have been able to patent pure software, even though the original intention of the directive was to prevent this from happening, said the EP spokesman.'
EN,'Should school times be staggered for safety reasons?'
EN,'His forehead is fractured in several places and his brain and one of his lungs are bruised, she said.'
EN,'\"Their reputation is totally vindicated,\" Loevy said.'
EN,'He also was administratively charged with breaking state law, lying and failing to report information to the department in the Jude beating.'
EN,'\"The MTA were directed to make certain amendments to their constitution to ensure clubs are directly affiliated to the national body with voting rights,\" said Elyas.'
EN,'Both last raced in the Florida Derby on April 2.'
EN,'They were fifth last year in Prague, fourth in 2003 at Helsinki, and fifth in 2002 at Goteborg, Sweden.'
EN,'Nicklaus said farewell to the US Masters, a tournament he won a record six times, last month, carding a second round 76 to miss the cut by five strokes.'
EN,'Give half points for each race - why not do that?\"'
EN,'How firmly entrenched was its pre-paid card business â€“ or was it merely in the planning stage?'
EN,'The potential retail value of the DVDs is estimated at $19,000.'
EN,'Lindsay Davenport and Mary Pierce show opposite emotions during Pierces 6-3, 6-2 win Tuesday.'
EN,'The official also said that the pilot program would give existing shareholders the option to increase their stakes in the companies.'
EN,'The sessions took place behind closed doors.'
EN,'Military Prosecutor Benny Holm Frandsen told the Copenhagen City Court that Capt. Annemette Hommel forced the four detainees to kneel in uncomfortable positions while she questioned them.'
EN,'Six policemen were among 18 people wounded, Mohammed al-Zubaidi, a doctor, said.'
EN,'MARLINS 7, DEVIL RAYS 6: Mike Lowell and Paul Lo Duca drove in three runs each to back Al Leiter in Miami.'
EN,'All institutions must do it and we can, but only if we re-marry the European ideals we believe in with the modern world we live in,\" Blair said.'
EN,'For a minority, however, circumcision is a religious ceremony.'
EN,'And production of Alias, which is scheduled to resume in July, can\'t begin any sooner, since Garner will spend much of the next two months in Vancouver shooting the romantic comedy Catch and Release.'
EN,'It just takes the caring attitude of the teachers,\" he said.Walters, who commutes from Yuba City, brought his two sons to Gridley to attended school at Sycamore.\"'
EN,'Pre-tax profit for the six months to 31 March doubled to just over Â£10m, reflecting lower exceptional costs, on sales from continuing operations up 1.3% to Â£685m.'
EN,'Units from Phenix City, Ladonia, Friendship, Salem and others were among the units on the scene battling the blaze at the business located just a half-mile from the Smiths Station city limit.'
EN,'The provincial maritime rescue center organized rescue operations, successfully helping unstrand the tanker at 2:50 p.m., Monday, after unloading nearly 10,000 tons of crude oil from it.'
EN,'For every hour spent volunteering with the district, a senior would earn $5.50 toward his or her tax bill, up to $550.'
EN,'Green says he is mentally and physically fresher under Salas.'
EN,'Expectations are on the rise with Lewis Wolff taking over as the new managing partner.'
EN,'Werst said he and a fellow soldier went into a house with Ismail because he thought the Iraqi would turn over more weapons.'
EN,'Medicaid children with other risk factors for lead exposure - minorities and those in urban areas - were the most likely in the study not to receive follow-up testing.'
EN,'He also will have to resolve objections to a dramatic increase Koppie made to inspection fees for drainage pipes known as culverts.'
EN,'He comes from an athletic family and he\'s been a good player since he was young.'
EN,'Then I heard the glass.'
EN,'This afternoon itÃ¢â‚¬â„¢s hoped a large Springfield crowd will cheer the reds to victory.'
EN,'He deprived me of the dream and divorced me,â€™ said Shabana Khatun, a victim of dowry.'
EN,'However, Steve Lott, business editor for Aviation Daily, a trade publication, said TransMeridian probably will be the barometer for other airlines in deciding whether to serve the airport.'
EN,'The United States has agreed to delay a missile launch planned for this week after Canada\'s Defense Minister Bill Graham voiced concerns last Thursday that rocket debris could fall on offshore oil platforms.'
EN,'Rogers gave up six runs, 10 hits and three walks in 3 1-3 innings of a 6-0 loss last Wednesday at the Los Angeles Angels.'
EN,'It is represented locally area by Boyd Hough, senior financial consultant; Eric Brady, financial consultant; Lynn Lippard and Dale Freeze, financial associates; and Jennifer Myers, regional specialist.'
EN,'Developing a new urban park in the B Street Plaza.'
EN,'Employers will be pleased to see how active you\'ve been.'
EN,'In 1975, Congress enacted Rule 501 of the Federal Rules of Evidence, inviting the judiciary to identify cases where, based on \"reason and experience,\' certain witnesses should be exempt from giving testimony.'
EN,'All you need is to expose people to what you are offering and they will say, Hey I didnt know AOL had all this great stuff.'
EN,'He\'s going to take it one day at a time.'
EN,'But Mike Cameron gave chase, and made a leaping, backhanded grab near the top of the wall that may have saved a home run.'
EN,'The spot price for Brent crude oil rose to $48.84 a barrel.'
EN,'Itâ€™s too late to turn back.'
EN,'Ringger\'s house was not damaged, but Larsen lost some siding on the exterior of his home.'
EN,'He also lost a friend and mentor when Hal Weintraub, a renowned molecular biologist at Fred Hutchinson, succumbed about the same time from a brain tumor.'
EN,'Khong added that if the project worked, he would introduce the idea to residents in other parts of OUG as well.'
EN,'Last month, the agency avoided a strike after months of negotiations offered no hope for a solution.'
EN,'American war dead in the Netherlands.'
EN,'According to the National Institute of Mental Health, autism spectrum disorder affects 1 out of every 500 U.S. births.'
EN,'It was a glorious November morning as the eight-passenger turbojet glided over the gold and auburn hills of the Carolina Piedmont.'
EN,'It\'s sort of like inmates in an insane asylum considering their circumstances and concluding: \"You don\'t look crazy to me.\"'
EN,'The king justified it as necessary to crush a Maoist revolt against the monarchy that has left over 11,000 people dead since 1996.'
EN,'Larkin agrees that the number of people purchasing second homes has increased lately.'
EN,'The camera slowly closed in on the back of the papal head.'
EN,'Overall, however, there\'s plenty of merchandise.'
EN,'But Bhengu, who also chaired the national assembly portfolio committee on provincial and local government, denied that their resignation was voluntary, saying she was disappointed the ANC took a decision about her political future without informing her.'
EN,'As many as 6,700 mm of snowfall recorded in upper hills (the catchment areas) compared to 4000 mm last year.'
EN,'I have about seven different models that involve how we might handle the end of the season,\" Finchem said.'
EN,'Inmates at the work camp usually generate more than a million dollars a year through the different types of jobs they have around the area.'
EN,'He plans to hold a news conference tomorrow to address the tax situation.'
EN,'If you have a t.v. screen, you might as well have videos.'
EN,'â€œI want him to go and the congress, too.'
EN,'The district administration has decided to construct Devaraj Urs Bhavan at a cost of Rs 50 lakh opposite to the ITCM Hospital in Kolar.'
EN,'Additionally, the ACM has announced winners of several honors to be presented prior to the awards show telecast on CBS.'
EN,'Crapo says he hopes his colleagues will sign it.Crapo said Congress should raise the spending cap enough that the reserve won\'t continue to grow.\"'
EN,'Michael Jackson should have thought about praying before now.'
EN,'In Havana, meanwhile, assembly organizers expressed confidence they would have a successful turnout even as division within the dissident movement took a bitter tone.'
EN,'My policy is if there are substantive issues that are brought up by opponents and they are substantial in nature, (then) I deny,\" Moore said Wednesday.'
EN,'\"A clean sheet and we\'re in the last four of the competition.'
EN,'Gerrard suffered a groin injury in the closing stages of the 1-0 defeat against Manchester City and did not travel with the squad to Turin.'
EN,'He dived to his left to snag Kazuo Matsui\'s liner, then made a backhand catch on Carlos Beltran\'s sinking liner.'
EN,'Walking with a friend can be safer than going out alone.'
EN,'Cummings said the current plan is for the city to draw 6 million gallons of water a day from the aquifer.'
EN,'HALLE, Germany - Top-ranked Roger Federer beat Tommy Haas 6-4, 7-6 (9) in the semifinals Saturday to move within one victory of capturing his third straight Gerry Weber Open title.'
EN,'Peorians in the crowd included Carl Sommerville, father of Bradley basketball player Marcellus Sommerville, and Craig \"C.C.\"'
EN,'White, 19, who struggled with medical problems found his science project in his own backyard.'
EN,'\"The bottom line is: participants in the fishing industry must find ways to increase income streams so as to become more competitive in future.\"'
EN,'The premiere of Beethoven\'s Fifth occurred in a four-hour event that would send today\'s wussy concert audiences into shock.'
EN,'So he decided to go to his mother.'
EN,'Hidden Lake Dr, Block 100, drug law violation, April 16, 7:26 a.m.'
EN,'For British voter Val Addiscott, it\'s a question of specifics.'
EN,'The Irish Independent and the Irish Times both report that Iona\'s chief operating officer, Peter Zotto, will replace Dr Chris Horn as chief executive.'
EN,'Every dollar we lose in investment income exacerbates the pension underfunding Black said.'
EN,'Agard, 22, was related to the three people he was accused of killing as Lee was his great-grandmother.'
EN,'You can clean up on vacuum cleaners in November and get a rolling deal on tires in December.'
EN,'The last two weeks were hard because we had a top-10 car at Talladega and a top-five car in Darlington, but both races we had setbacks,\" Boyer said.'
EN,'Facilitate daily operational processes including processing new accounts, transactions, exception items and item processing.'
EN,'\"Somebody\'s going to be open, and they seemed to make the extra pass over and over again.'
EN,'A couple tunes contain a few lines in English.'
EN,'Both men are proponents of up-tempo basketball, which would seem to make them good fits with the already assembled talent at UWM.'
EN,'Shelby Development Corporation has been an active Main Street organization since 1985.'
EN,'But the attorney general will help make arrangements for patients, she said.'
EN,'If the virus is not found in the pooled sample, officials go no further.'
EN,'Brown is expected to become the Cavs general manager and has said that because of health reasons he cannot coach next year.'
EN,'These are the most tragic shootings I\'ve seen in this county in my 31 years here, because of the sheer numbers and all the young victims,\" Sheriff Michael Henry of Logan County said.'
EN,'SAN FRANCISCO -- Al Gore has a plan for luring the Internet generation back to television: make it more participatory by having viewers contribute their own video.'
EN,'With 1.7 students per instructional computer, South Dakota offers pupils the greatest access to a keyboard.'
EN,'The hotel includes a small business center, meeting rooms and gift shop.'
EN,'The recommendation on how much money each organization should get this year and next goes to the board of directors for approval in mid-May.'
EN,'In the bottom of the inning, Paulson hit a batter and issued a walk, but kept the Tigers off the board.'
EN,'According to Atlanta body language expert and author Patti Wood, it connotes closeness and possessiveness.'
EN,'I\'ve never played the tournament before but I\'ve heard a lot of good things about Eastbourne from a lot of the players.'
EN,'Tom Wilson, president of the Davidson company that owns the Lightning, has said as much publicly, warning that the league could shrink to $800 million if a deal isn\'t done by the start of next season.'
EN,'He now has five hits in 11 at-bats since joining the Sox, and, more\'s the point, has looked very much like the Olerud of old - making contact, hitting the ball the other way and being comfortable with base hits over home runs.'
EN,'Minter has started 109 of 116 games for the Panthers, and played every snap over the past two seasons -- the only player in the NFL outside a handful of offensive lineman to do so.'
EN,'GETTING THERE: Chur is located at the foot of the high Alps, on the floor of the upper Rhine valley.'
EN,'Lakeview Christian Academy won two of three games as Anna Broman registered 45 strikeouts on the day.'
EN,'The Dow Jones closed 85 points higher at 10,242 while the tech heavy Nasdaq finished up 19 at 1,951.'
EN,'Guidant\'s Friday advisory, which covers implantable defibrillators designed to normalize heartbeats, sent the stock down $5.06, or 7.4%, to $63.54.'
EN,'Gateway said the move is designed to show its commitment to increasing shareholder value.'
